asset_id|filepath|filename|transcription|duration_sec|language|language_probability|avg_logprob|slate_text|model|device|compute_type|transcribed_at_utc|status|error
5DMKII-20221027-0015|E:\Orange Crush\Original_Footage\5dmkii\20221027\OC_2022_10_27_0015.MOV|OC_2022_10_27_0015.MOV|Film rolling. Mark it. Scene 32, Take 2. Action. I think I'm gonna cancel some of these premium channels. Billy should be paying for it. He helps every now and again. Well, it would help even more if you were getting home place. As soon as he gets settled in law enforcement. Is it time for your meds or mine? Cut.|35.20|en|1.000|-0.194|Film rolling. Mark it. Scene 32, Take 2. Action. I think I'm gonna cancel some of these premium channels. Billy should be paying for it. He helps every now and again. Well, it would help even more if you were getting home place. As soon as he gets settled in law enforcement. Is it time for your meds or mine? Cut.|large-v3-turbo|cuda|float16|2026-09-20T22:45:25Z|ok|
5DMKII-20221027-0016|E:\Orange Crush\Original_Footage\5dmkii\20221027\OC_2022_10_27_0016.MOV|OC_2022_10_27_0016.MOV|Film rolling. Mark scene 73, Take 1. Action. Cut.|23.06|en|1.000|-0.284|Film rolling. Mark scene 73, Take 1. Action. Cut.|large-v3-turbo|cuda|float16|2026-09-20T22:45:26Z|ok|
5DMKII-20221027-0017|E:\Orange Crush\Original_Footage\5dmkii\20221027\OC_2022_10_27_0017.MOV|OC_2022_10_27_0017.MOV|Camera rolling. Mark scene 73, Take 2. Action. Our rescue dogs live in foster homes throughout the area where they are learning house manners, crepe training, and basic obedience. Cut.|21.81|en|0.999|-0.224|Camera rolling. Mark scene 73, Take 2. Action. Our rescue dogs live in foster homes throughout the area where they are learning house manners, crepe training, and basic obedience. Cut.|large-v3-turbo|cuda|float16|2026-09-20T22:45:27Z|ok|
5DMKII-20221027-0018|E:\Orange Crush\Original_Footage\5dmkii\20221027\OC_2022_10_27_0018.MOV|OC_2022_10_27_0018.MOV|I need a note. Tape off your shoes. Where's all the dirt coming from? I don't know. Put yourself in the laundry, we'll do it tomorrow. Want some pie? I'm not hungry, Dad. That's the thing, where do I put the towels in a note? Uh, yeah, because you just want to get away from here. Yeah, but I liked the way that was going. I kind of see it. Okay. Alright. Alright.|45.05|en|1.000|-0.269|I need a note. Tape off your shoes. Where's all the dirt coming from? I don't know. Put yourself in the laundry, we'll do it tomorrow. Want some pie? I'm not hungry, Dad. That's the thing, where do I put the towels in a note? Uh, yeah, because you just want to get away from here. Yeah, but I liked the way that was going. I kind of see it. Okay. Alright. Alright.|large-v3-turbo|cuda|float16|2026-09-20T22:45:30Z|ok|
5DMKII-20221027-0019|E:\Orange Crush\Original_Footage\5dmkii\20221027\OC_2022_10_27_0019.MOV|OC_2022_10_27_0019.MOV|Now I'm rolling. Mark it. Scene 72, Take 1. Action. Hey. Hey, what are you tracking in here? Take off your shoes. The hell have you been doing? Nothing. Where's all this dirt coming from? Put your stuff in the laundry. We'll do it tomorrow. Want some pie? I'm hungry, Dad. Cut.|66.52|en|1.000|-0.261|Now I'm rolling. Mark it. Scene 72, Take 1. Action. Hey. Hey, what are you tracking in here? Take off your shoes. The hell have you been doing? Nothing.|large-v3-turbo|cuda|float16|2026-09-20T22:45:34Z|ok|
5DMKII-20221029-0035|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0035.MOV|MVI_0035.MOV|I'll talk to her tonight. Maybe. We are being too pushy with her. Good. Let's do it one more time. That's good. Just in terms of continuity, how many things are you going to do on this? We're not completely on the book, so it's only significant if it's going to be matching later. What's interesting? The gist is all right, but the words are off script, so... I think there's some line changes that aren't in this script. Ah, okay. Yeah, and then it's still a little off, I think. It's natural and lovely, but it's going to matter if you're trying to match it later. Right. So, if this isn't the current script, I won't... No, this is the correct one.|64.94|en|0.999|-0.208|I'll talk to her tonight. Maybe. We are being too pushy with her.|large-v3-turbo|cuda|float16|2026-09-20T22:45:38Z|ok|
5DMKII-20221029-0036|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0036.MOV|MVI_0036.MOV|Camera rolling. Mark it. Scene 80, Take 1. Action. Why don't you call and take the day off today? You'll be fine. You're working. Amita's working. Why did you invite them if all you're going to do is work? It's okay, Uma. They can take care of themselves. And I'll leave as soon as I can after lunch. We can go to picnic afterwards by the falls. Is anyone else up yet? Did we have to leave? Did you hear her come last night? No. She must have been very late. I'll talk to her tonight. Maybe we are being a little too pushy with her.|67.40|en|0.999|-0.174|Camera rolling. Mark it. Scene 80, Take 1. Action. Why don't you call and take the day off today? You'll be fine. You're working. Amita's working. Why did you invite them if all you're going to do is work? It's okay, Uma. They can take care of themselves. And I'll leave as soon as I can after lunch. We can go to picnic afterwards by the falls. Is anyone else up yet? Did we have to leave?|large-v3-turbo|cuda|float16|2026-09-20T22:45:42Z|ok|
5DMKII-20221029-0037|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0037.MOV|MVI_0037.MOV|Film rolling. Mark it. Scene 80, Take 2. Action. Why don't you call and take the day off today? You will be fine, Uma. You're working. Amita's working. Why did you invite them if all you're gonna do is work? It's okay, Uma. They can take care of themselves. And I'll leave as soon as I can after lunch. Okay? We can go to picnic afterwards by the falls. Is anybody else up yet? Did you hear her come last night? No. She must have come very late. I'll talk to her tonight. Maybe we are a little bit too pushy with her.|65.61|en|0.998|-0.144|Film rolling. Mark it. Scene 80, Take 2. Action. Why don't you call and take the day off today? You will be fine, Uma. You're working. Amita's working. Why did you invite them if all you're gonna do is work? It's okay, Uma. They can take care of themselves. And I'll leave as soon as I can after lunch. Okay? We can go to picnic afterwards by the falls. Is anybody else up yet?|large-v3-turbo|cuda|float16|2026-09-20T22:45:46Z|ok|
5DMKII-20221029-0039|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0039.MOV|MVI_0039.MOV|I'm rolling. Mark it. Scene 80, Take 3 again. Action. Why don't you call and take the day off today? You'll be fine, Uma. You're working. Amita is working. Why did you invite them? If all you're going to do is work. It's okay, Uma. They can take care of themselves. And I'll leave as soon as I can after lunch. We can go to picnic afterwards by the falls. Is anybody else up yet? Did you hear her come last night? No. She must have come very late. I'll talk to her tonight. Maybe we're a little bit too pushy with her. Bye. Cut.|71.15|en|1.000|-0.183|I'm rolling. Mark it. Scene 80, Take 3 again. Action. Why don't you call and take the day off today? You'll be fine, Uma. You're working. Amita is working. Why did you invite them? If all you're going to do is work. It's okay, Uma. They can take care of themselves. And I'll leave as soon as I can after lunch. We can go to picnic afterwards by the falls. Is anybody else up yet?|large-v3-turbo|cuda|float16|2026-09-20T22:45:50Z|ok|
5DMKII-20221029-0040|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0040.MOV|MVI_0040.MOV|Mark it. Scene 80, Take 4. Action. Why don't you call and take the day off today? You'll be fine, Uma. You're working. Amita's working. Why did you invite them if all you're gonna do is work? It's okay, Uma. They can take care of themselves. And I'll leave as soon as I can after lunch. We can go to picnic afterwards by the falls. Is anyone else up yet? Did you hear her coming? Did she come last night? No. She must have come very late. I'll talk to her tonight. Maybe you're a little bit too pushy with her. Bye.|65.94|en|0.995|-0.210|Mark it. Scene 80, Take 4. Action. Why don't you call and take the day off today? You'll be fine, Uma. You're working. Amita's working. Why did you invite them if all you're gonna do is work? It's okay, Uma. They can take care of themselves. And I'll leave as soon as I can after lunch. We can go to picnic afterwards by the falls. Is anyone else up yet? Did you hear her coming?|large-v3-turbo|cuda|float16|2026-09-20T22:45:54Z|ok|
5DMKII-20221029-0038|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0038.MOV|MVI_0038.MOV|Film rolling. Mark it. Scene 80, Take 3. Action. Why don't you call and take the day off today? You will be fine, Uma. You are working. Amita is working.|16.93|en|0.999|-0.205|Film rolling. Mark it. Scene 80, Take 3. Action. Why don't you call and take the day off today? You will be fine, Uma. You are working. Amita is working.|large-v3-turbo|cuda|float16|2026-09-20T22:45:55Z|ok|
5DMKII-20221029-0044|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0044.MOV|MVI_0044.MOV|Phil, I'm rolling. Mark it. 109, Take 2. Action. Would you like some more tea? No, thank you. Would you mind if I see her room? Sure. Cut.|25.61|en|1.000|-0.207|Phil, I'm rolling. Mark it. 109, Take 2. Action. Would you like some more tea? No, thank you. Would you mind if I see her room? Sure. Cut.|large-v3-turbo|cuda|float16|2026-09-20T22:45:57Z|ok|
5DMKII-20221029-0042|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0042.MOV|MVI_0042.MOV|Thumb right. Mark it. 109, Take 1. Action. Would you like some more tea? No, thank you. Would you mind if I see your room? Sure.|24.69|en|0.999|-0.209|Thumb right. Mark it. 109, Take 1. Action. Would you like some more tea? No, thank you. Would you mind if I see your room? Sure.|large-v3-turbo|cuda|float16|2026-09-20T22:45:59Z|ok|
5DMKII-20221029-0041|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0041.MOV|MVI_0041.MOV|I'm rolling. Mark it. Scene 80, Take 5. Action. Why don't you call and take the day off today? You will be fine, Uma. You are working. Amita is working. Why did you invite them if all you are going to do is work? It's okay, Uma. They can take care of themselves. I'll leave as soon as I can after lunch. And we can go to picnic afterwards by the falls. Is anybody else up yet? She didn't come last night? No. She must have come very late. I'll talk to her tonight. Maybe we are a little bit too pushy with her.|64.36|en|0.998|-0.215|I'm rolling. Mark it. Scene 80, Take 5. Action. Why don't you call and take the day off today? You will be fine, Uma. You are working. Amita is working. Why did you invite them if all you are going to do is work? It's okay, Uma. They can take care of themselves. I'll leave as soon as I can after lunch. And we can go to picnic afterwards by the falls. Is anybody else up yet?|large-v3-turbo|cuda|float16|2026-09-20T22:46:02Z|ok|
5DMKII-20221029-0045|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0045.MOV|MVI_0045.MOV|Film rolling. Mark it. Scene 108, Take 1. Action. Cut.|17.27|en|0.999|-0.236|Film rolling. Mark it. Scene 108, Take 1. Action. Cut.|large-v3-turbo|cuda|float16|2026-09-20T22:46:03Z|ok|
5DMKII-20221029-0043|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0043.MOV|MVI_0043.MOV||1.04|en|0.517|||large-v3-turbo|cuda|float16|2026-09-20T22:46:04Z|ok|
5DMKII-20221029-0046|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0046.MOV|MVI_0046.MOV|Scene 1, Take 2. Action.|9.80|en|0.998|-0.398|Scene 1, Take 2. Action.|large-v3-turbo|cuda|float16|2026-09-20T22:46:04Z|ok|
5DMKII-20221029-0047|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0047.MOV|MVI_0047.MOV|Film is rolling. Mark it. Scene 108, Take 1. Action. That's Ganesha. Are you the police? Please.|29.45|en|0.997|-0.295|Film is rolling. Mark it. Scene 108, Take 1. Action. That's Ganesha. Are you the police? Please.|large-v3-turbo|cuda|float16|2026-09-20T22:46:06Z|ok|
5DMKII-20221029-0048|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0048.MOV|MVI_0048.MOV|Film rolling. Mark it. Scene 108, Take 2. Action. That's Ganesha. It's Peter. What is it for? Are you the police? Detective Candy, Mr. Peter. Cut.|29.70|en|0.999|-0.315|Film rolling. Mark it. Scene 108, Take 2. Action. That's Ganesha. It's Peter. What is it for? Are you the police? Detective Candy, Mr. Peter.|large-v3-turbo|cuda|float16|2026-09-20T22:46:08Z|ok|
5DMKII-20221029-0050|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0050.MOV|MVI_0050.MOV|Film rolling. Mark it. Scene 108, Take 1. Action. Exclamation. That's beautiful. What is it for? Are you the police? Detective Candy, Mr. Verma. Please. Thank you.|23.57|en|0.999|-0.258|Film rolling. Mark it. Scene 108, Take 1. Action. Exclamation. That's beautiful. What is it for? Are you the police? Detective Candy, Mr. Verma. Please. Thank you.|large-v3-turbo|cuda|float16|2026-09-20T22:46:09Z|ok|
5DMKII-20221029-0049|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0049.MOV|MVI_0049.MOV|Film rolling. Mark it. Scene 108, Take 1. Action. That's Ganesha. It's beautiful. What is it for? Are you the police? Please. Cut.|30.20|en|0.998|-0.248|Film rolling. Mark it. Scene 108, Take 1. Action. That's Ganesha. It's beautiful. What is it for? Are you the police? Please. Cut.|large-v3-turbo|cuda|float16|2026-09-20T22:46:11Z|ok|
5DMKII-20221029-0052|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0052.MOV|MVI_0052.MOV|She didn't sleep here last night. And she's not picking up her cell phone or her work phone. Slow down, Uma. Did you hear what I said? She didn't sleep here last night. And she didn't stay with Leena. I heard you. She's just upset with me. This is not about you. Something is wrong. What do you mean something is wrong? What should we do now? I'm going to her work. Yeah, that's a good idea. Go to her work and call me from there. I want to call 911. Why don't you go to her work first? You know, and I have to go back to a meeting. But call me back, okay? Correct.|54.72|en|0.999|-0.172|She didn't sleep here last night. And she's not picking up her cell phone or her work phone. Slow down, Uma. Did you hear what I said? She didn't sleep here last night. And she didn't stay with Leena. I heard you. She's just upset with me. This is not about you. Something is wrong. What do you mean something is wrong? What should we do now?|large-v3-turbo|cuda|float16|2026-09-20T22:46:13Z|ok|
5DMKII-20221029-0051|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0051.MOV|MVI_0051.MOV||5.13|en|0.517|||large-v3-turbo|cuda|float16|2026-09-20T22:46:14Z|ok|
5DMKII-20221029-0054|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0054.MOV|MVI_0054.MOV|Mark it. Scene 92, Take 3. Action. She didn't sleep here last night. She's not picking up her cell or her work phone. Slow down, Uma. Did you hear what I said? She didn't sleep here last night and she didn't stay with Leena. Yes, I heard you. She just upset with me. This is not about you. Something is wrong. What do you mean something is wrong? What should we do now? I'm going to her work. That's a good idea. Go talk to her and then call me back. I want to call 9-1-1. Why don't you just go to her work first? And I have to go back to a meeting. But call me back, okay? Cut.|47.63|en|0.999|-0.150|Mark it. Scene 92, Take 3. Action. She didn't sleep here last night. She's not picking up her cell or her work phone. Slow down, Uma. Did you hear what I said? She didn't sleep here last night and she didn't stay with Leena. Yes, I heard you. She just upset with me. This is not about you. Something is wrong. What do you mean something is wrong? What should we do now? I'm going to her work. That's a good idea.|large-v3-turbo|cuda|float16|2026-09-20T22:46:16Z|ok|
5DMKII-20221029-0053|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0053.MOV|MVI_0053.MOV|No, I'm rolling. Mark it. Scene 92, Take 2. Action. She didn't sleep here last night. She's not picking up her cell phone or her word phone. Slow down, Uma. Did you hear what I said? She didn't sleep here last night and she didn't stay with Leena. Yes, yes, I heard you. She's just upset with me. This is not about you. Something is wrong. What do you mean something is wrong? What should we do now? I'm going to her work. Yeah, that's a good idea. Go to her work and call me back after you talk to her. I want to call 911. Why don't you go to her work first? I have to go back to a meeting. But call me back, okay? Correct.|51.05|en|0.999|-0.116|No, I'm rolling. Mark it. Scene 92, Take 2. Action. She didn't sleep here last night. She's not picking up her cell phone or her word phone.|large-v3-turbo|cuda|float16|2026-09-20T22:46:18Z|ok|
5DMKII-20221029-0055|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0055.MOV|MVI_0055.MOV|Film rolling. Mark it. Scene 111, Take 4. Action. May I take a look at this? Please. Does she have any other friends besides, uh, Leena? No. She doesn't have time for friends. She works very hard. Not even college friends? No. Is there any possibility there's a guy involved? Absolutely not. Do you know Leena's number? Yes. We gave it to the officer when we called. Of course. I'm sorry. Okay if I borrow this? Yes. He helps us overcome our obstacles. What? Ganesh. Cut.|59.14|en|1.000|-0.169|Film rolling. Mark it. Scene 111, Take 4. Action. May I take a look at this? Please. Does she have any other friends besides, uh, Leena? No. She doesn't have time for friends. She works very hard. Not even college friends? No. Is there any possibility there's a guy involved? Absolutely not. Do you know Leena's number? Yes. We gave it to the officer when we called.|large-v3-turbo|cuda|float16|2026-09-20T22:46:20Z|ok|
5DMKII-20221029-0056|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0056.MOV|MVI_0056.MOV|Home rolling. Mark it. Scene 111, Take 5. Action. May I take a look at this? Please. Do you have any other friends? No. She doesn't have time for friends. She works very hard. Not even college friends? No. Any possibility? Absolutely not. Do you have Leena's mail? Yes. We gave it to the officer when we called. Of course, I'm sorry. Yes. He helps us overcome our obstacles. Ganesh?|56.10|en|0.998|-0.525|Home rolling. Mark it. Scene 111, Take 5. Action. May I take a look at this? Please. Do you have any other friends? No. She doesn't have time for friends. She works very hard. Not even college friends? No. Any possibility? Absolutely not. Do you have Leena's mail? Yes. We gave it to the officer when we called. Of course, I'm sorry. Yes. He helps us overcome our obstacles.|large-v3-turbo|cuda|float16|2026-09-20T22:46:23Z|ok|
5DMKII-20221029-0058|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0058.MOV|MVI_0058.MOV|Film rolling. Mark it. Scene 5, Take 1. Action. So, how was your journey? I know it's long. You must be tired. We're fine, Lama. I'm dying to see all this America. Lama. No one has called me by that. Fine.|22.48|en|0.993|-0.224|Film rolling. Mark it. Scene 5, Take 1. Action. So, how was your journey? I know it's long. You must be tired. We're fine, Lama. I'm dying to see all this America. Lama. No one has called me by that. Fine.|large-v3-turbo|cuda|float16|2026-09-20T22:46:25Z|ok|
5DMKII-20221029-0057|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0057.MOV|MVI_0057.MOV|I'm rolling. Mark it. Scene 111, Take 6. Action. Please. No, she doesn't have time for friends. She works very hard. Not even college friends? No, absolutely not. Do you know Leena's number? Yes, we gave it to the officer when we called. Oh, okay if I borrow this? Yes. He helps us overcome our obstacles. Ganesh, I'm rolling. I'm rolling. I'm rolling. I'm rolling.|58.77|en|0.999|-0.499|I'm rolling. Mark it. Scene 111, Take 6. Action. Please. No, she doesn't have time for friends. She works very hard. Not even college friends? No, absolutely not. Do you know Leena's number? Yes, we gave it to the officer when we called. Oh, okay if I borrow this? Yes. He helps us overcome our obstacles. Ganesh,|large-v3-turbo|cuda|float16|2026-09-20T22:46:27Z|ok|
5DMKII-20221029-0059|E:\Orange Crush\Original_Footage\5dmkii\20221029\MVI_0059.MOV|MVI_0059.MOV|Film rolling. Mark it. Scene 5, Take 2. Action. So how was your journey? I know it's long. You must be tired. We are fine, Lama. I am dying to see all of this America. Lama. No one has called me by that name for over 30 years now. Um, very good try. Sandeep, why are you so quiet? He is usually a strong-minded fellow. Oh, even Amita is very strong-minded. You remember how she ran away when she was 6? She had enough of us. Thought I was me. Uma and I, no, she, she thought I was me. She packed her Timmy Pickles doll. She put it in her backpack. And what else? A blanket? Yes, and a blanket. And then declared, I am leaving. Uma and I. She went to the next door garden and sat there for 10 minutes. Isn't it Uma? Yeah. And then she came back for pizza. Yes. Way to girl's heart. Pizza. You don't mind home. And now, at 26, she is back home again. Sandeep, Amita. Yes. Talk. Cut. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye.|124.29|en|0.999|-0.134|Film rolling. Mark it. Scene 5, Take 2. Action. So how was your journey? I know it's long. You must be tired. We are fine, Lama. I am dying to see all of this America. Lama. No one has called me by that name for over 30 years now. Um, very good try. Sandeep, why are you so quiet? He is usually a strong-minded fellow.|large-v3-turbo|cuda|float16|2026-09-20T22:46:35Z|ok|
